Timestamp,Session_Keys_Typed,Session_WPM,Estimated_Hand_Span_cm
2026-02-22 12:43:52,37,108.91,22.68
2026-02-22 12:46:21,62,87.63,22.31
2026-02-22 12:55:35,53,98.32,22.39
2026-02-22 12:57:27,35,97.15,22.36
2026-02-22 13:07:17,63,84.64,22.49
2026-02-22 13:07:37,60,76.14,22.22
2026-02-22 13:08:21,10,113.65,23.02
2026-02-22 13:08:34,38,81.21,22.3
2026-02-22 13:08:45,25,89.37,22.7
2026-02-22 13:11:26,36,94.52,22.81
2026-02-22 15:14:40,28,103.91,22.53
2026-02-22 15:15:23,28,120.14,22.97
2026-02-22 15:38:49,43,84.75,22.46
2026-02-22 15:40:08,17,95.06,22.49
2026-02-22 16:49:45,60,98.19,22.46
2026-02-22 17:11:08,34,73.28,22.34
2026-02-22 17:11:18,18,76.03,22.94
2026-02-22 18:21:21,17,102.48,22.74
2026-02-22 18:21:32,34,88.19,22.76
2026-02-22 18:38:54,24,102.98,23.08
2026-02-23 11:45:15,19,89.06,22.44
2026-02-23 19:01:08,52,79.26,22.13
2026-02-23 19:01:45,35,93.56,22.5
2026-02-23 19:01:59,50,92.44,22.39
2026-02-24 18:34:39,39,80.74,22.38
2026-02-24 18:34:54,2,21.56,23.82
2026-02-24 18:35:03,5,88.43,22.64
