Predicted_User,Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM,Grid_Distance,Instant_WPM
User_1,h,START,0.1591,0.0,0.0449,0,88.02,0.0,1200.0
User_1,e,h_e,0.0425,0.0874,0.0789,0,88.02,3.64,137.29977116704805
User_1,l,e_l,0.0121,0.091,0.0691,0,88.02,6.58,131.86813186813188
User_1,l,l_l,0.061,0.1301,0.0781,0,88.02,0.0,92.23674096848579
User_1,o,l_o,0.0698,0.1479,0.0643,0,88.02,1.12,81.13590263691682
User_1,<space>,o_<space>,0.0361,0.1004,0.0845,0,88.02,0.0,119.5219123505976
User_1,m,<space>_m,0.0623,0.1468,0.0435,0,88.02,0.0,81.74386920980925
User_1,y,m_y,0.0576,0.1011,0.0702,0,88.02,2.62,118.69436201780417
User_1,<space>,y_<space>,0.002,0.0722,0.0547,0,88.02,0.0,166.2049861495845
User_1,n,<space>_n,0.0797,0.1343,0.0471,0,88.02,0.0,89.35219657483246
User_1,a,n_a,0.0181,0.0652,0.0937,0,88.02,5.3,184.04907975460125
User_1,m,a_m,0.0943,0.0762,0.0635,1,88.02,6.28,157.48031496062993
User_1,e,m_e,0.0368,0.1003,0.0675,0,88.02,5.11,119.64107676969091
User_1,<space>,e_<space>,0.0682,0.0314,0.0503,1,88.02,0.0,382.1656050955415
User_1,i,<space>_i,0.1103,0.1606,0.04,0,88.02,0.0,74.71980074719801
User_1,s,i_s,0.0225,0.0625,0.08,0,88.02,5.59,192.0
User_1,<space>,s_<space>,0.0121,0.0921,0.0493,0,88.02,0.0,130.29315960912052
User_1,r,<space>_r,0.0476,0.097,0.0531,0,88.02,0.0,123.71134020618557
User_1,i,r_i,0.0256,0.0787,0.049,0,88.02,4.0,152.47776365946632
User_1,s,i_s,0.0395,0.0885,0.0778,0,88.02,5.59,135.59322033898306
User_1,h,s_h,0.0841,0.0445,0.0549,1,88.02,4.0,269.6629213483146
User_1,i,h_i,0.0749,0.1298,0.0553,0,88.02,1.8,92.44992295839754
User_1,<space>,i_<space>,0.0918,0.1471,0.0466,0,88.02,0.0,81.5771583956492
User_1,k,<space>_k,0.0912,0.1378,0.0737,0,88.02,0.0,87.08272859216255
User_1,u,k_u,0.0904,0.1641,0.0322,0,88.02,1.8,73.12614259597807
User_1,m,u_m,0.0938,0.126,0.0561,0,88.02,2.12,95.23809523809524
User_1,a,m_a,0.1362,0.0424,0.0552,1,88.02,6.28,283.0188679245283
User_1,r,a_r,0.0825,0.1377,0.0636,0,88.02,2.69,87.14596949891069
User_1,<space>,r_<space>,0.0909,0.1545,0.0895,0,88.02,0.0,77.66990291262137
User_1,i,<space>_i,0.0061,0.0956,0.0475,0,88.02,0.0,125.52301255230124
User_1,<space>,i_<space>,0.106,0.1535,0.056,0,88.02,0.0,78.17589576547232
User_1,a,<space>_a,0.0215,0.0774,0.0907,0,88.02,0.0,155.03875968992247
User_1,m,a_m,0.0845,0.0631,0.0625,1,88.02,6.28,190.1743264659271
User_1,<space>,m_<space>,0.0975,0.16,0.0388,0,88.02,0.0,75.0
User_1,u,<space>_u,0.1209,0.1598,0.0441,0,88.02,0.0,75.09386733416771
User_1,s,u_s,0.0289,0.0731,0.0648,0,88.02,4.61,164.15868673050616
User_1,e,s_e,0.0701,0.135,0.0556,0,88.02,1.12,88.88888888888889
User_1,r,e_r,0.0723,0.128,0.0767,0,88.02,1.0,93.75
User_1,<space>,r_<space>,0.1008,0.0285,0.0733,1,88.02,0.0,421.05263157894734
User_1,1,<space>_1,0.0775,0.1508,0.0761,0,88.02,0.0,79.57559681697613
User_1,<space>,1_<space>,0.1939,0.27,0.0948,0,88.02,0.0,44.44444444444444
User_1,h,<space>_h,0.0858,0.1806,0.0581,0,88.02,0.0,66.44518272425249
User_1,e,h_e,0.0201,0.0782,0.0779,0,88.02,3.64,153.4526854219949
User_1,l,e_l,0.0345,0.1124,0.04,0,88.02,6.58,106.76156583629893
User_1,l,l_l,0.071,0.1109,0.0591,0,88.02,0.0,108.20559062218214
User_1,o,l_o,0.0734,0.1325,0.0504,0,88.02,1.12,90.56603773584905
User_1,<space>,o_<space>,0.0276,0.078,0.0704,0,88.02,0.0,153.84615384615384
User_1,m,<space>_m,0.0236,0.094,0.0588,0,88.02,0.0,127.65957446808511
User_1,y,m_y,0.0573,0.1161,0.0713,0,88.02,2.62,103.35917312661499
User_1,<space>,y_<space>,0.1115,0.0542,0.0456,1,88.02,0.0,221.4022140221402
User_1,n,<space>_n,0.1019,0.1475,0.0272,0,88.02,0.0,81.35593220338984
User_1,a,n_a,0.0445,0.0717,0.0858,0,88.02,5.3,167.36401673640168
User_1,m,a_m,0.1012,0.0567,0.0636,1,88.02,6.28,211.64021164021165
User_1,e,m_e,0.0579,0.1215,0.0719,0,88.02,5.11,98.76543209876544
User_1,<space>,e_<space>,0.0899,0.032,0.042,1,88.02,0.0,375.0
User_1,i,<space>_i,0.139,0.181,0.0375,0,88.02,0.0,66.29834254143647
User_1,s,i_s,0.062,0.0995,0.0937,0,88.02,5.59,120.60301507537687
User_1,<space>,s_<space>,0.1497,0.0877,0.0545,1,88.02,0.0,136.83010262257696
User_1,k,<space>_k,0.1522,0.2067,0.0595,0,88.02,0.0,58.05515239477503
User_1,i,k_i,0.1162,0.1758,0.0573,0,88.02,1.12,68.25938566552901
User_1,s,i_s,0.0391,0.0964,0.0947,0,88.02,5.59,124.48132780082987
User_1,h,s_h,0.1152,0.0762,0.0623,1,88.02,4.0,157.48031496062993
User_1,i,h_i,0.0828,0.1452,0.0579,0,88.02,1.8,82.64462809917356
User_1,<space>,i_<space>,0.1204,0.1783,0.05,0,88.02,0.0,67.30229949523276
User_1,r,<space>_r,0.0697,0.1197,0.0883,0,88.02,0.0,100.25062656641603
User_1,u,r_u,0.1496,0.0799,0.052,1,88.02,3.0,150.18773466833542
User_1,m,u_m,0.1282,0.1801,0.0654,0,88.02,2.12,66.62965019433648
User_1,a,m_a,0.0208,0.0862,0.0776,0,88.02,6.28,139.21113689095128
User_1,r,a_r,0.1314,0.209,0.0651,0,88.02,2.69,57.41626794258374
User_1,<space>,r_<space>,0.2086,0.2736,0.1075,0,88.02,0.0,43.859649122807014
User_1,i,<space>_i,0.0213,0.1289,0.04,0,88.02,0.0,93.0954228083786
User_1,<space>,i_<space>,0.1187,0.1587,0.051,0,88.02,0.0,75.61436672967864
User_1,a,<space>_a,0.0439,0.0949,0.0821,0,88.02,0.0,126.44889357218125
User_1,m,a_m,0.0976,0.0537,0.0553,1,88.02,6.28,223.463687150838
User_1,<space>,m_<space>,0.0882,0.1435,0.0505,0,88.02,0.0,83.62369337979095
User_1,u,<space>_u,0.1144,0.1649,0.0531,0,88.02,0.0,72.77137659187386
User_1,s,u_s,0.0194,0.0725,0.0578,0,88.02,4.61,165.51724137931035
User_1,e,s_e,0.0802,0.1379,0.0682,0,88.02,1.12,87.0195794053662
User_1,r,e_r,0.0814,0.1495,0.0693,0,88.02,1.0,80.2675585284281
User_1,<space>,r_<space>,0.1197,0.1889,0.0777,0,88.02,0.0,63.52567496029644
User_1,1,<space>_1,0.0329,0.1106,0.0628,0,88.02,0.0,108.49909584086798
User_1,<space>,1_<space>,0.2208,0.2836,0.0985,0,88.02,0.0,42.313117066290545
User_1,a,<space>_a,0.1805,0.279,0.0899,0,88.02,0.0,43.01075268817204
User_1,m,a_m,0.0181,0.1081,0.0704,0,88.02,6.28,111.00832562442183
User_1,p,m_p,0.1294,0.1998,0.0392,0,88.02,3.05,60.06006006006006
