Sentence,Mean_Dwell,Mean_Flight_UD,Mean_Flight_DD,Overlap_Rate,WPM,Accuracy,Burst_Pause_Count
the smallest details define the strongest locks,0.09507999999999978,0.0996400000000002,0.16984000000000002,0.84,44.29821041649947,38.297872340425535,2
behavior is harder to fake than passwords,0.10000000000000142,0.020500000000000185,0.057500000000000995,0.5,11.718749999999991,0.0,0
security should feel invisible,0.19699999999999918,0.11600000000000144,0.08700000000000152,0.0,17.159199237368927,0.0,0
precision creates identity over time,0.10350000000000392,0.051499999999997215,0.10299999999999798,0.5,34.73227206946442,0.0,0
every keystroke tells a story,0.12299999999999756,0.13000000000000256,0.19400000000000261,0.5,12.257405515832449,6.896551724137931,0
consistency builds trust in systems,0.08037500000000009,0.2612500000000004,0.27475000000000094,0.75,10.628875110717454,11.428571428571429,3
typing rhythm reveals patterns,0.09250000000000114,0.13149999999999906,0.1714999999999982,0.5,10.825439783491213,0.0,0
subtle timing differences matter,0.07399999999999807,0.2295000000000016,0.27050000000000196,0.5,8.447729672650473,6.25,1
identity lives in behavior,0.09700000000000131,0.14750000000000085,0.2015000000000029,0.5,10.840108401084018,7.6923076923076925,0
patterns strengthen verification,0.08399999999999845,0.19150000000000253,0.26233333333333536,0.8333333333333334,18.79895561357696,18.75,2
