Key,Key_Pair,Flight_UD_s,Flight_DD_s,Dwell_Time_s,Is_Overlap,Session_WPM
h,START,0.1591,0.0000,0.0449,0,88.02
e,h_e,0.0425,0.0874,0.0789,0,88.02
l,e_l,0.0121,0.0910,0.0691,0,88.02
l,l_l,0.0610,0.1301,0.0781,0,88.02
o,l_o,0.0698,0.1479,0.0643,0,88.02
<space>,o_<space>,0.0361,0.1004,0.0845,0,88.02
m,<space>_m,0.0623,0.1468,0.0435,0,88.02
y,m_y,0.0576,0.1011,0.0702,0,88.02
<space>,y_<space>,0.0020,0.0722,0.0547,0,88.02
n,<space>_n,0.0797,0.1343,0.0471,0,88.02
a,n_a,0.0181,0.0652,0.0937,0,88.02
m,a_m,0.0943,0.0762,0.0635,1,88.02
e,m_e,0.0368,0.1003,0.0675,0,88.02
<space>,e_<space>,0.0682,0.0314,0.0503,1,88.02
i,<space>_i,0.1103,0.1606,0.0400,0,88.02
s,i_s,0.0225,0.0625,0.0800,0,88.02
<space>,s_<space>,0.0121,0.0921,0.0493,0,88.02
r,<space>_r,0.0476,0.0970,0.0531,0,88.02
i,r_i,0.0256,0.0787,0.0490,0,88.02
s,i_s,0.0395,0.0885,0.0778,0,88.02
h,s_h,0.0841,0.0445,0.0549,1,88.02
i,h_i,0.0749,0.1298,0.0553,0,88.02
<space>,i_<space>,0.0918,0.1471,0.0466,0,88.02
k,<space>_k,0.0912,0.1378,0.0737,0,88.02
u,k_u,0.0904,0.1641,0.0322,0,88.02
m,u_m,0.0938,0.1260,0.0561,0,88.02
a,m_a,0.1362,0.0424,0.0552,1,88.02
r,a_r,0.0825,0.1377,0.0636,0,88.02
<space>,r_<space>,0.0909,0.1545,0.0895,0,88.02
i,<space>_i,0.0061,0.0956,0.0475,0,88.02
<space>,i_<space>,0.1060,0.1535,0.0560,0,88.02
a,<space>_a,0.0215,0.0774,0.0907,0,88.02
m,a_m,0.0845,0.0631,0.0625,1,88.02
<space>,m_<space>,0.0975,0.1600,0.0388,0,88.02
u,<space>_u,0.1209,0.1598,0.0441,0,88.02
s,u_s,0.0289,0.0731,0.0648,0,88.02
e,s_e,0.0701,0.1350,0.0556,0,88.02
r,e_r,0.0723,0.1280,0.0767,0,88.02
<space>,r_<space>,0.1008,0.0285,0.0733,1,88.02
1,<space>_1,0.0775,0.1508,0.0761,0,88.02
<space>,1_<space>,0.1939,0.2700,0.0948,0,88.02
h,<space>_h,0.0858,0.1806,0.0581,0,88.02
e,h_e,0.0201,0.0782,0.0779,0,88.02
l,e_l,0.0345,0.1124,0.0400,0,88.02
l,l_l,0.0710,0.1109,0.0591,0,88.02
o,l_o,0.0734,0.1325,0.0504,0,88.02
<space>,o_<space>,0.0276,0.0780,0.0704,0,88.02
m,<space>_m,0.0236,0.0940,0.0588,0,88.02
y,m_y,0.0573,0.1161,0.0713,0,88.02
<space>,y_<space>,0.1115,0.0542,0.0456,1,88.02
n,<space>_n,0.1019,0.1475,0.0272,0,88.02
a,n_a,0.0445,0.0717,0.0858,0,88.02
m,a_m,0.1012,0.0567,0.0636,1,88.02
e,m_e,0.0579,0.1215,0.0719,0,88.02
<space>,e_<space>,0.0899,0.0320,0.0420,1,88.02
i,<space>_i,0.1390,0.1810,0.0375,0,88.02
s,i_s,0.0620,0.0995,0.0937,0,88.02
<space>,s_<space>,0.1497,0.0877,0.0545,1,88.02
k,<space>_k,0.1522,0.2067,0.0595,0,88.02
i,k_i,0.1162,0.1758,0.0573,0,88.02
s,i_s,0.0391,0.0964,0.0947,0,88.02
h,s_h,0.1152,0.0762,0.0623,1,88.02
i,h_i,0.0828,0.1452,0.0579,0,88.02
<space>,i_<space>,0.1204,0.1783,0.0500,0,88.02
r,<space>_r,0.0697,0.1197,0.0883,0,88.02
u,r_u,0.1496,0.0799,0.0520,1,88.02
m,u_m,0.1282,0.1801,0.0654,0,88.02
a,m_a,0.0208,0.0862,0.0776,0,88.02
r,a_r,0.1314,0.2090,0.0651,0,88.02
<space>,r_<space>,0.2086,0.2736,0.1075,0,88.02
i,<space>_i,0.0213,0.1289,0.0400,0,88.02
<space>,i_<space>,0.1187,0.1587,0.0510,0,88.02
a,<space>_a,0.0439,0.0949,0.0821,0,88.02
m,a_m,0.0976,0.0537,0.0553,1,88.02
<space>,m_<space>,0.0882,0.1435,0.0505,0,88.02
u,<space>_u,0.1144,0.1649,0.0531,0,88.02
s,u_s,0.0194,0.0725,0.0578,0,88.02
e,s_e,0.0802,0.1379,0.0682,0,88.02
r,e_r,0.0814,0.1495,0.0693,0,88.02
<space>,r_<space>,0.1197,0.1889,0.0777,0,88.02
1,<space>_1,0.0329,0.1106,0.0628,0,88.02
<space>,1_<space>,0.2208,0.2836,0.0985,0,88.02
a,<space>_a,0.1805,0.2790,0.0899,0,88.02
m,a_m,0.0181,0.1081,0.0704,0,88.02
p,m_p,0.1294,0.1998,0.0392,0,88.02
<backspace>,p_<backspace>,0.1199,0.1591,0.0494,0,88.02
<backspace>,<backspace>_<backspace>,0.0496,0.0989,0.0605,0,88.02
p,<backspace>_p,0.0877,0.1481,0.0493,0,88.02
p,p_p,0.0754,0.1247,0.0577,0,88.02
l,p_l,0.1792,0.2369,0.0747,0,88.02
e,l_e,0.1483,0.2231,0.0858,0,88.02
<space>,e_<space>,0.1796,0.0312,0.1008,1,88.02
t,<space>_t,0.0773,0.1781,0.0649,0,88.02
o,t_o,0.0095,0.0744,0.0172,0,88.02
m,o_m,0.1211,0.1383,0.0638,0,88.02
a,m_a,0.1631,0.0420,0.0697,1,88.02
t,a_t,0.0911,0.1608,0.0586,0,88.02
e,t_e,0.1013,0.1599,0.0747,0,88.02
<space>,e_<space>,0.7462,0.8210,0.0748,0,88.02
w,<space>_w,0.6415,0.7163,0.0702,0,88.02
a,w_a,0.0699,0.1401,0.0632,0,88.02
t,a_t,0.0713,0.1345,0.0509,0,88.02
e,t_e,0.1060,0.1568,0.0603,0,88.02
r,e_r,0.0740,0.1344,0.0653,0,88.02
<space>,r_<space>,0.1363,0.0622,0.0511,1,88.02
b,<space>_b,0.1244,0.1756,0.0641,0,88.02
o,b_o,0.1137,0.1777,0.0538,0,88.02
t,o_t,0.1603,0.0466,0.0549,1,88.02
